run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,45.0,0.05,4,4,21858795.053093884,20424633.937798895,21755383.275566373,21871401.30781097,12606.25471708551,103411.77752751112,0.47309001834881226,1.7950833614458253,20103747.52944808,75.73972602739725,1.5286991582804867,19888775.29350381
1,45.0,0.05,4,4,21146192.5326224,20424633.937798895,21050984.717852306,21164719.83532977,18527.30270737037,95207.81477009505,0.4502362050436134,1.4599866620195932,18918916.483126406,75.73972602739725,1.6942920438475655,18852978.162557982
2,45.0,0.05,4,4,21231739.072450694,20424633.937798895,21146987.773244802,21266715.07402625,34976.00157555565,84751.29920589179,0.3991726674705658,1.7992335432286892,18846358.265245248,75.7397260273973,1.9825142135096117,18757138.52004678
3,45.0,0.05,4,4,20093990.890489683,20424633.937798895,20006472.76262119,20130532.113461316,36541.22297163308,87518.12786849216,0.43554378194683946,1.6668725741699197,18924112.246495623,75.73972602739725,1.5758995632466442,18917903.316996742
4,45.0,0.05,4,4,22075891.581973866,20424633.937798895,21976016.17785497,22096843.035284355,20951.453310489655,99875.40411889553,0.4524184391286334,1.951148700339277,20120425.12138228,75.46119253228684,1.9562381360259848,19939482.725540727
5,45.0,0.05,4,4,21952186.771926392,20424633.937798895,21858522.063464962,21965153.998014353,12967.226087961346,93664.70846142992,0.4266759819172697,2.1228152964141263,21143127.43173634,75.73972602739725,2.14904416706693,21149363.84355674
6,45.0,0.05,4,4,21299357.526521757,20424633.937798895,21191115.579296045,21310106.595608354,10749.06908659637,108241.94722571224,0.5081934846669924,1.9838455393115455,20888839.234657843,75.37948546328242,1.9820292957038315,20564224.990310363
7,45.0,0.05,4,4,21637824.423848122,20424633.937798895,21519830.89661058,21645540.602647945,7716.1787998229265,117993.52723754197,0.5453114182195482,1.489527319490114,20425074.970206425,75.96503047485255,1.489527319460156,20160556.520003457
8,45.0,0.05,4,4,21350826.0113145,20424633.937798895,21273265.43194295,21358752.302489884,7926.291175384074,77560.57937154919,0.36326734773843083,1.831511969106249,19759368.867691267,75.73972602739725,1.9299544516815363,19768096.430543818
9,45.0,0.05,4,4,21644578.366697613,20424633.937798895,21572603.2190668,21650510.55538677,5932.188689157367,71975.14763081446,0.3325319921295189,1.3260734007682715,20084223.163003597,75.135315227023,1.4435952902219833,20033452.680810817
