run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,30.0,1.0,8,4,20867279.978806697,20390479.467201658,20774471.55282848,20894657.93061226,27377.95180556178,92808.42597821727,0.44475574235106685,0.03553045374353277,19451458.509260535,74.25569212916255,0.07025558522847165,19385269.231757447
1,30.0,1.0,8,4,21359246.14980735,20390479.467201658,21264746.523958817,21378987.933324743,19741.783517394215,94499.62584853172,0.4424295931876045,0.006050989688689392,20239135.309950907,74.3739874890067,0.04055074713345462,20162712.612720348
2,30.0,1.0,8,4,20964633.21907118,20390479.467201658,20845950.15117529,20983078.574802317,18445.355731137097,118683.06789588928,0.566110871846426,0.1575093948100884,19435243.029753454,76.73972602739767,0.15274555027490289,19303998.962395314
3,30.0,1.0,8,4,21511928.98761081,20390479.467201658,21405657.11686372,21526391.543821003,14462.556210193783,106271.87074708939,0.49401367403310825,0.6073642691039993,19713845.03297623,76.72696352108616,0.6100473359742822,19603776.8162137
4,30.0,1.0,8,4,21584963.0685788,20390479.467201658,21521903.867018435,21614794.695598233,29831.627019435167,63059.20156036317,0.29214412533398476,0.3183299349120231,19894831.66080033,76.70187617278516,0.3125351125413313,19813613.779524874
5,30.0,1.0,8,4,21750005.431962166,20390479.467201658,21669247.358604766,21758818.439710442,8813.007748275995,80758.07335739955,0.3713013939698773,0.3222757957609135,20400404.804490596,76.61574585092409,0.3257735201037989,20245623.912024934
6,30.0,1.0,8,4,21755714.862575587,20390479.467201658,21675295.107455343,21765558.492203858,9843.629628270864,80419.75512024388,0.3696488744600289,0.046969138092835726,20828914.900838222,74.51190774131905,0.125824310130685,20651366.59148205
7,30.0,1.0,8,4,21333775.20063863,20390479.467201658,21252183.161754563,21351404.093194492,17628.892555862665,81592.03888406605,0.3824547606633803,0.23322482804902966,19647806.883459855,76.73972602739725,0.24764088200580703,19899242.7074465
8,30.0,1.0,8,4,21662675.40291095,20390479.467201658,21598833.32276192,21684356.87450182,21681.47159086913,63842.080149032176,0.2947100437116521,0.00909196561654881,19866168.269351594,74.31189260457896,0.013434691530819415,19760026.854622707
9,30.0,1.0,8,4,21062706.39112426,20390479.467201658,20996391.20441917,21073340.477023944,10634.085899684578,66315.1867050901,0.3148464659462521,0.2686613364551824,19606188.03943526,76.53139278691583,0.30522413298686885,19517364.239423323
