run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,0.0,0.05,2,4,21767597.281121,20390479.467201658,21773636.098009516,21783707.083357543,16109.802236542106,-6038.816888514906,-0.02774222993252618,0.0,20971295.535201516,73.73972602739725,0.0,20950370.246406034
1,0.0,0.05,2,4,21108711.36167829,20390479.467201658,21005988.58773721,21115440.11431344,6728.752635147423,102722.77394108102,0.48663687792694243,0.0,20221377.877391253,73.73972602739725,0.0,20122050.797844674
2,0.0,0.05,2,4,20421642.219006266,20390479.467201658,20319624.067211106,20437392.78530875,15750.566302482039,102018.15179516003,0.49955900069688086,0.0,19750871.058223132,73.73972602739725,0.0,19642775.470593132
3,0.0,0.05,2,4,22131670.349585023,20390479.467201658,22086061.232475966,22135318.23829065,3647.88870562613,45609.11710905656,0.2060807719825438,0.0,21715287.29244903,73.73972602739725,0.0,21620420.255760938
4,0.0,0.05,2,4,21244513.49221405,20390479.467201658,21178960.468640257,21259233.325521324,14719.833307273686,65553.02357379347,0.3085644846506753,0.0,20944911.01611552,73.73972602739725,0.0,20951823.518432323
5,0.0,0.05,2,4,21115189.69252271,20390479.467201658,20991609.71934845,21129653.291393846,14463.598871137947,123579.97317425907,0.5852657493198893,0.0,19250486.82415347,73.64793728531009,0.0,19148738.200351205
6,0.0,0.05,2,4,21609329.68239528,20390479.467201658,21482707.8340458,21613737.508223142,4407.825827863067,126621.8483494781,0.5859591676859582,0.0,21113416.99176561,73.73972602739725,0.0,21001972.27147662
7,0.0,0.05,2,4,22029723.421558842,20390479.467201658,21916187.46169802,22043846.12087875,14122.699319906533,113535.95986082032,0.5153762382223609,0.0,20918912.417321395,72.98172801795832,0.0,20796241.871279277
8,0.0,0.05,2,4,20285326.704059403,20390479.467201658,20243035.537091017,20314247.621419072,28920.91735966876,42291.16696838662,0.20848156692454706,0.0,19632667.321921203,73.73972602739725,0.0,19584932.087374583
9,0.0,0.05,2,4,22475850.738538224,20390479.467201658,22381400.079389542,22480934.578031823,5083.839493598789,94450.65914868191,0.42023174227052534,0.0,21906138.48939742,73.73972602739725,0.0,21782000.336156927
