run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
1,0.0,0.0,2,4,21108711.36167829,20390479.467201658,21005988.58773721,21115440.11431344,6728.752635147423,102722.77394108102,0.48663687792694243,0.0,20221377.877391253,73.73972602739725,0.0,20122050.797844674
0,0.0,0.0,2,4,21767597.281121,20390479.467201658,21773636.098009516,21783707.083357543,16109.802236542106,-6038.816888514906,-0.02774222993252618,0.0,20971295.535201516,73.73972602739725,0.0,20950370.246406034
3,0.0,0.0,2,4,22131670.349585023,20390479.467201658,22086061.232475966,22135318.23829065,3647.88870562613,45609.11710905656,0.2060807719825438,0.0,21715287.29244903,73.73972602739725,0.0,21620420.255760938
2,0.0,0.0,2,4,20421642.219006266,20390479.467201658,20319624.067211106,20437392.78530875,15750.566302482039,102018.15179516003,0.49955900069688086,0.0,19750871.058223132,73.73972602739725,0.0,19642775.470593132
1,0.0,0.0,2,4,21108711.36167829,20390479.467201658,21005988.58773721,21115440.11431344,6728.752635147423,102722.77394108102,0.48663687792694243,0.0,20221377.877391253,73.73972602739725,0.0,20122050.797844674
9,0.0,0.0,2,4,22475850.738538224,20390479.467201658,22381400.079389542,22480934.578031823,5083.839493598789,94450.65914868191,0.42023174227052534,0.0,21906138.48939742,73.73972602739725,0.0,21782000.336156927
