run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
3,0.0,0.0,4,2,20031493.26000255,20390479.467201658,19941584.78622263,20036954.974714663,5461.714712113142,89908.47377992049,0.44883560408071665,0.0,18744539.609827366,73.73972602739725,0.0,18750069.39574132
0,0.0,0.0,4,2,21764205.942355413,20390479.467201658,21701100.292944837,21778075.630897775,13869.688542362303,63105.64941057563,0.2899515359196517,0.0,20027787.40694564,73.33701475992868,0.0,20000673.026085064
1,0.0,0.0,4,2,21092249.49972295,20390479.467201658,20989162.866057005,21119191.445903793,26941.946180842817,103086.63366594538,0.48874177060772694,0.0,18923242.847044062,73.73972602739725,0.0,18885314.080628157
3,0.0,0.0,4,2,20031493.26000255,20390479.467201658,19941584.78622263,20036954.974714663,5461.714712113142,89908.47377992049,0.44883560408071665,0.0,18744539.609827366,73.73972602739725,0.0,18750069.39574132
2,0.0,0.0,4,2,21213250.610147905,20390479.467201658,21116872.411983356,21241514.819097746,28264.20894984156,96378.19816454872,0.45433017285169736,0.0,18909978.379388202,73.7397260273973,0.0,18827607.434487466
9,0.0,0.0,4,2,21473753.53404268,20390479.467201658,21402551.13311885,21493262.85044797,19509.3164052926,71202.40092382953,0.33157873778774277,0.0,20019291.21067201,72.46217506062617,0.0,19985698.647482596
