subsidy,density,h2_mean,h2_std,pressure_mean,pressure_std
0,1,0.0,0.0,231386.1121208652,12591.938220303
0,2,0.0,0.0,230893.9563752295,12409.423240380274
0,4,0.1008184267801668,0.14652711110962585,230755.41304161143,12517.781398597373
0,8,0.0,0.0,231534.00648900014,12615.972918078729
35,1,1.1970999850592974,1.1247129348060956,230146.92580604128,12778.099825049832
35,2,1.7115074265393093,0.8930598871884821,229947.2065573271,13013.75442668186
35,4,1.5762144478012312,1.0776470963449447,229525.046520244,13257.908938024859
35,8,1.559290207430526,1.0711908479734464,229991.1773351046,13706.720670824423
40,1,2.8552159909494725,2.525825158769389,233872.89148059636,7226.12192238243
40,2,4.013255864742932,2.403354783619039,233809.48051594305,7766.837182196498
40,4,3.853824370946873,2.4824034379475335,233795.39780694805,8169.7370720085855
40,8,4.282568973049602,2.6229752823084014,234327.10363033935,8915.566957953224
80,1,7.580552318482143,1.8564706673826046,228967.24053369355,9162.751773342694
80,2,8.136940104816532,0.8153701873534019,230683.31268648448,8785.817853008719
80,4,8.395840670912536,0.20764394427322652,231053.45981160566,9019.005938554521
80,8,8.456674190873876,0.14353343540230165,231680.5050607025,9063.230381961654
