subsidy,density,h2_mean,h2_std,pressure_mean,pressure_std
0.0,1.0,0.0,0.0,231386.1121208652,2815.6429829075228
0.0,2.0,0.0,0.0,230893.9563752295,2774.8313927056006
0.0,4.0,0.1008184267801668,0.03276445809877879,230755.41304161143,2799.061013474611
0.0,8.0,0.0,0.0,231534.0064890001,2821.017304712042
35.0,1.0,1.1970999850592974,0.2514934577399719,230146.92580604128,2857.2699832089593
35.0,2.0,1.711507426539309,0.19969426157317394,229947.2065573271,2909.963954054944
35.0,4.0,1.5762144478012312,0.24096921631825613,229525.046520244,2964.5585624925634
35.0,8.0,1.559290207430526,0.2395255552944269,229991.1773351046,3064.915916856493
40.0,1.0,2.8552159909494725,0.5647916754287553,233872.89148059636,1615.809983214857
40.0,2.0,4.013255864742932,0.5374064670221469,233809.48051594305,1736.717590956429
40.0,4.0,3.853824370946873,0.5550822834829865,233795.39780694805,1826.8087451311292
40.0,8.0,4.282568973049602,0.5865151034543287,234327.10363033932,1993.5813775934419
80.0,1.0,7.580552318482143,0.4151194610501906,228967.24053369355,2048.853582615101
80.0,2.0,8.136940104816532,0.1823223165748946,230683.31268648448,1964.568595725875
80.0,4.0,8.395840670912536,0.046430597451111257,231053.4598116057,2016.7110368082194
80.0,8.0,8.456674190873876,0.03209505186036212,231680.5050607025,2026.599922980764
