run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,45.0,0.2,4,4,21871734.5535234,20424633.937798895,21793626.97092535,21920326.286071002,48591.73254760355,21884994.88981406,13260.336290661246,78107.5825980492,0.357116544217873
1,45.0,0.2,4,4,21157221.78652411,20424633.937798895,21061025.304414652,21200641.20338334,43419.41685923189,21178377.83490474,21156.048380631953,96196.48210945725,0.4546744514949911
2,45.0,0.2,4,4,21257533.854108647,20424633.937798895,21157417.13629309,21316072.23526985,58538.381161201745,21283440.048376627,25906.194267980754,100116.71781555563,0.470970520393668
3,45.0,0.2,4,4,20120553.408055864,20424633.937798895,20031776.24066741,20161282.801238377,40729.39318251237,20140326.845518872,19773.437463007867,88777.16738845408,0.4412262704111781
4,45.0,0.2,4,4,22084951.35420526,20424633.937798895,21979369.746922635,22117851.244509805,32899.8903045468,22098917.114272,13965.760066740215,105581.60728262365,0.4780703637933056
5,45.0,0.2,4,4,21964995.55457394,20424633.937798895,21885488.966908634,21993802.868119992,28807.313546054065,21977993.436199058,12997.881625119597,79506.58766530454,0.361969514028644
6,45.0,0.2,4,4,21309486.375063837,20424633.937798895,21218879.437729273,21335726.89286271,26240.517798874527,21323935.49748721,14449.122423373163,90606.93733456358,0.42519531320375215
7,45.0,0.2,4,4,21623751.62204249,20424633.937798895,21539114.30433523,21691201.42223511,67449.8001926206,21658942.878462505,35191.25642001629,84637.31770725921,0.391409035705825
8,45.0,0.2,4,4,21345522.10896613,20424633.937798895,21306945.17302867,21375032.989395384,29510.880429252982,21357881.28690568,12359.177939549088,38576.93593746051,0.18072612953916162
9,45.0,0.2,4,4,21672318.36058257,20424633.937798895,21595343.702786017,21723382.48413764,51064.12355506793,21677284.79983912,4966.4392565488815,76974.65779655427,0.3551750048880563
