run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,45.0,0.0,4,2,21823651.46361469,20424633.937798895,21735831.31591136,21836982.71208346,13331.248468767852,21840397.338325076,16745.874710384756,87820.14770333096,0.4024081297749298
1,45.0,0.0,4,2,21157917.975090858,20424633.937798895,21048784.89836619,21164590.420764398,6672.445673540235,21166691.76865266,8773.793561801314,109133.0767246671,0.5158025324285173
2,45.0,0.0,4,2,21272449.85195055,20424633.937798895,21166476.16794672,21287144.504476193,14694.65252564475,21287030.301580407,14580.449629858136,105973.68400382996,0.4981733873689816
3,45.0,0.0,4,2,20059860.230646864,20424633.937798895,19962320.682308678,20066179.05091247,6318.820265606046,20067956.0393754,8095.808728534728,97539.548338186,0.48624241254267536
4,45.0,0.0,4,2,22060850.199212607,20424633.937798895,21953019.537857078,22080821.196241856,19970.997029248625,22079520.156152047,18669.95693944022,107830.66135552898,0.4887874237928403
5,45.0,0.0,4,2,21835666.5231807,20424633.937798895,21750480.72701808,21845835.1823475,10168.659166797996,21848532.831579447,12866.308398745954,85185.79616262019,0.390122261998218
6,45.0,0.0,4,2,21394407.58343993,20424633.937798895,21271962.956994418,21399536.693651307,5129.110211376101,21401034.61293103,6627.02949110046,122444.62644551322,0.5723207149717476
7,45.0,0.0,4,2,21642460.25958595,20424633.937798895,21551546.67671213,21680285.538583234,37825.27899728343,21680285.538583323,37825.278997372836,90913.58287382126,0.42007046233828016
8,45.0,0.0,4,2,21285172.850573823,20424633.937798895,21270055.613744892,21323161.841055878,37988.99048205465,21323161.841055878,37988.99048205465,15117.236828930676,0.07102238227077932
9,45.0,0.0,4,2,21521588.700619902,20424633.937798895,21443028.007705495,21528499.5754494,6910.874829497188,21536436.039945416,14847.33932551369,78560.6929144077,0.36503203368134646
