run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,45.0,1.0,2,8,21894019.489766862,20424633.937798895,21875093.985818617,21900297.23065581,6277.740888949484,21900297.23065581,6277.740888949484,18925.503948245198,0.08644143190377111
1,45.0,1.0,2,8,21228704.665367883,20424633.937798895,21169781.932090923,21258201.47972504,29496.814357157797,21258201.47972504,29496.814357157797,58922.73327695951,0.27756160446795874
2,45.0,1.0,2,8,20485235.590882774,20424633.937798895,20371236.80147338,20492338.00193245,7102.411049675196,20492338.00193245,7102.411049675196,113998.78940939531,0.5564924499092994
3,45.0,1.0,2,8,22196255.09613594,20424633.937798895,22153102.687461495,22200080.86453772,3825.7684017792344,22200080.86453772,3825.7684017792344,43152.408674445,0.1944130146619068
4,45.0,1.0,2,8,21249308.15673803,20424633.937798895,21166985.905412104,21250844.154037014,1535.9972989819944,21250844.154037014,1535.9972989819944,82322.25132592767,0.3874114428512524
5,45.0,1.0,2,8,21113178.913903955,20424633.937798895,21009314.718187705,21124643.836969987,11464.923066031188,21124643.836969987,11464.923066031188,103864.19571625069,0.4919401106758564
6,45.0,1.0,2,8,21723307.45056437,20424633.937798895,21608182.091002,21733728.42224222,10420.971677850932,21733728.42224222,10420.971677850932,115125.35956237093,0.5299623909681395
7,45.0,1.0,2,8,22104463.037295077,20424633.937798895,22018943.60334818,22130710.657321602,26247.62002652511,22130710.657321602,26247.62002652511,85519.43394689634,0.3868876335182008
8,45.0,1.0,2,8,20385665.991563067,20424633.937798895,20341457.01136776,20419442.74574258,33776.754179514945,20419442.74574258,33776.754179514945,44208.98019530624,0.21686306551673531
9,45.0,1.0,2,8,22537308.412940104,20424633.937798895,22451047.883665565,22550118.292045236,12809.879105132073,22550118.292045236,12809.879105132073,86260.52927453816,0.3827454800459246
