run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,45.0,1.0,8,8,20946878.163495675,20424633.937798895,20849382.130356476,20969977.280393437,23099.11689776182,20970842.122477595,23963.958981920034,97496.03313919902,0.46544421740661235
1,45.0,1.0,8,8,21468025.393880323,20424633.937798895,21377765.808504134,21476634.56624504,8609.172364719212,21476634.56624505,8609.172364726663,90259.58537618816,0.4204372955601104
2,45.0,1.0,8,8,21091700.417348627,20424633.937798895,20983495.393075693,21107158.964135177,15458.546786550432,21107158.964135177,15458.546786550432,108205.0242729336,0.5130218148932714
3,45.0,1.0,8,8,21573760.89658034,20424633.937798895,21475577.884989344,21593723.005012266,19962.10843192786,21593723.005012266,19962.10843192786,98183.0115909949,0.4551038275693409
4,45.0,1.0,8,8,21699790.614997268,20424633.937798895,21633027.759776626,21724443.103403915,24652.488406646997,21724443.103403915,24652.488406646997,66762.85522064194,0.3076658959764361
5,45.0,1.0,8,8,21849014.689199608,20424633.937798895,21765556.18188068,21860290.503810447,11275.81461083889,21860290.503810447,11275.81461083889,83458.50731892884,0.3819783569470709
6,45.0,1.0,8,8,21808378.62582855,20424633.937798895,21731290.473145157,21820074.034089815,11695.408261265606,21820074.034089815,11695.408261265606,77088.15268339217,0.3534795227376213
7,45.0,1.0,8,8,21453789.35192417,20424633.937798895,21368644.56781622,21467526.516152214,13737.16422804445,21467526.516152214,13737.16422804445,85144.78410794958,0.39687526856561134
8,45.0,1.0,8,8,21718199.555239975,20424633.937798895,21666129.226399675,21746852.618057538,28653.06281756237,21746930.63726679,28731.08202681318,52070.32884030044,0.23975435306163476
9,45.0,1.0,8,8,21105516.860025518,20424633.937798895,21040455.338979974,21113979.883681595,8463.023656077683,21113979.883681595,8463.023656077683,65061.52104554325,0.30826784047526323
