run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,30.0,0.2,4,8,21790320.69422975,20390479.467201658,21720668.47257095,21816035.20698731,25714.512757558376,21814590.199383013,24269.505153261125,69652.22165880352,0.31964752899321935
1,30.0,0.2,4,8,21143946.664774597,20390479.467201658,21062956.948886286,21179123.363868408,35176.699093811214,21178086.545528095,34139.880753498524,80989.71588831022,0.3830397284497388
2,30.0,0.2,4,8,21209733.64076442,20390479.467201658,21132265.69607386,21248844.898382027,39111.25761760771,21245979.64510094,36246.00433652103,77467.94469055906,0.36524713606807485
3,30.0,0.2,4,8,20040662.12143853,20390479.467201658,19941963.319818426,20073692.955515444,33030.834076914936,20076058.23887503,35396.11743650213,98698.80162010342,0.49249271816483653
4,30.0,0.2,4,8,22042405.171440557,20390479.467201658,21935238.728089213,22063201.83301516,20796.661574602127,22062930.03172117,20524.860280614346,107166.44335134327,0.48618307538505123
5,30.0,0.2,4,8,21795779.648968358,20390479.467201658,21706356.68603369,21808492.095174212,12712.446205854416,21809048.644520976,13268.995552618057,89422.9629346691,0.4102765047861075
6,30.0,0.2,4,8,21292427.490161538,20390479.467201658,21201431.578501124,21301213.514231063,8786.024069525301,21300946.50452123,8519.014359690249,90995.91166041419,0.42736278755656265
7,30.0,0.2,4,8,21564807.728120524,20390479.467201658,21470410.40219551,21597400.500100717,32592.771980192512,21596373.78921293,31566.06109240651,94397.32592501491,0.4377378510169638
8,30.0,0.2,4,8,21244447.513620928,20390479.467201658,21214486.457422514,21268649.834745035,24202.321124106646,21268026.591273535,23579.077652607113,29961.056198414415,0.1410300558732102
9,30.0,0.2,4,8,21580214.839110013,20390479.467201658,21509178.678238045,21594234.42996521,14019.590855196118,21589257.746552523,9042.907442510128,71036.16087196767,0.32917263058580964
