run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,30.0,0.0,8,8,20848597.809918605,20390479.467201658,20764516.643467076,20877475.52358569,28877.71366708353,20879233.051472634,30635.241554029286,84081.16645152867,0.4032941074412569
1,30.0,0.0,8,8,21347046.397051636,20390479.467201658,21262655.891769677,21367155.237241317,20108.840189680457,21367256.285094425,20209.888042788953,84390.50528195873,0.3953263777681881
2,30.0,0.0,8,8,20977485.845443487,20390479.467201658,20861740.199603837,20989438.042172063,11952.196728575975,20990895.32402589,13409.478582404554,115745.64583965018,0.5517612868025901
3,30.0,0.0,8,8,21472096.758404486,20390479.467201658,21381220.782682043,21496237.639691725,24140.881287239492,21497003.80211128,24907.043706793338,90875.97572244331,0.42322823311083096
4,30.0,0.0,8,8,21625241.109781485,20390479.467201658,21570472.060293403,21649150.3394922,23909.229710716754,21649790.44179818,24549.33201669529,54769.04948808253,0.25326445707608547
5,30.0,0.0,8,8,21754457.703937337,20390479.467201658,21677387.89129811,21766845.75263405,12388.04869671166,21768262.879452035,13805.175514698029,77069.81263922527,0.35427135756767875
6,30.0,0.0,8,8,21719325.42298177,20390479.467201658,21647792.243665043,21733110.95428957,13785.531307801604,21733373.72891795,14048.305936180055,71533.17931672558,0.3293526752034136
7,30.0,0.0,8,8,21339698.782007355,20390479.467201658,21246621.082984578,21364568.099353805,24869.31734644994,21366060.31109417,26361.52908681333,93077.69902277738,0.4361715691191301
8,30.0,0.0,8,8,21659382.06347317,20390479.467201658,21590655.59489545,21683039.61660737,23657.553134202957,21682935.619431764,23553.555958595127,68726.46857772022,0.3173057678945604
9,30.0,0.0,8,8,21031678.068643562,20390479.467201658,20963279.535716657,21038834.50494949,7156.436305928975,21036946.433810256,5268.365166693926,68398.5329269059,0.32521671691467297
