run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,0.0,0.0,2,8,21814333.883754496,20390479.467201658,21783527.38463322,21834126.568630412,19792.68487591669,21831639.907950044,17306.024195548147,30806.4991212748,0.14122136062204915
1,0.0,0.0,2,8,21136089.426238284,20390479.467201658,21055909.028310742,21157469.953710917,21380.52747263387,21157469.953710914,21380.527472630143,80180.39792754129,0.37935304071909143
2,0.0,0.0,2,8,20407969.63692479,20390479.467201658,20307993.524044346,20432742.641434517,24773.004509728402,20429163.11172989,21193.474805101752,99976.11288044229,0.48988760106518553
3,0.0,0.0,2,8,22130117.694749262,20390479.467201658,22084508.577640243,22133765.583452214,3647.8887029513717,22133765.583453633,3647.8887043707073,45609.11710901931,0.20609523066314658
4,0.0,0.0,2,8,21155318.17396657,20390479.467201658,21070283.05111258,21190639.449978806,35321.27601223439,21182334.135555685,27015.961589112878,85035.12285399064,0.4019562464375206
5,0.0,0.0,2,8,21084393.813472275,20390479.467201658,20967908.455275595,21101809.134694163,17415.321221888065,21101929.956987932,17536.143515657634,116485.3581966795,0.5524719336358106
6,0.0,0.0,2,8,21581139.513750836,20390479.467201658,21471780.658980884,21600962.942228034,19823.428477197886,21600962.942228045,19823.42847720906,109358.8547699526,0.506733459094097
7,0.0,0.0,2,8,22070182.168075364,20390479.467201658,21970909.4445228,22087736.279249787,17554.111174423248,22088487.848051924,18305.679976560175,99272.7235525623,0.44980473109171165
8,0.0,0.0,2,8,20299620.430704623,20390479.467201658,20237775.028953258,20325750.699731,26130.269026376307,20321805.85964932,22185.42894469574,61845.40175136551,0.3046628480689222
9,0.0,0.0,2,8,22486229.036954626,20390479.467201658,22404696.47774608,22486423.24026631,194.20331168174744,22491444.528574415,5215.49161978811,81532.55920854583,0.36258884971131655
