run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,70.0,0.05,2,8,21989507.43443179,20565692.625499967,21979414.2310685,22284493.442482818,294986.0080510266,22002984.07946618,13476.645034387708,10093.20336329192,0.04590008845531345
1,70.0,0.05,2,8,21357306.28303325,20565692.625499967,21276028.79965888,21803282.265556782,445975.9825235307,21375962.80815661,18656.525123357773,81277.48337437212,0.38056055523697235
2,70.0,0.05,2,8,20598126.613706045,20565692.625499967,20518639.019152276,20919776.436070252,321649.82236420736,20628623.505880643,30496.89217459783,79487.59455376863,0.3858972033936202
3,70.0,0.05,2,8,22295542.723905202,20565692.625499967,22250831.997364506,22508656.482269205,213113.75836400315,22299133.386265345,3590.6623601429164,44710.726540695876,0.20053661440031775
4,70.0,0.05,2,8,21363575.026676036,20565692.625499967,21287391.17843842,21705133.5828846,341558.5562085621,21385061.78910792,21486.762431882322,76183.84823761508,0.3566062709190136
5,70.0,0.05,2,8,21253025.590051774,20565692.625499967,21145681.946013626,21444890.31971238,191864.72966060787,21261522.169726595,8496.579674821347,107343.64403814822,0.5050746472934855
6,70.0,0.05,2,8,21811278.390609454,20565692.625499967,21696420.41091036,22286301.55463123,475023.1640217751,21830821.831054226,19543.4404447712,114857.97969909385,0.5265990266235122
7,70.0,0.05,2,8,22160812.785514362,20565692.625499967,22062244.956232045,22345573.76663999,184760.9811256267,22179367.146082073,18554.360567711294,98567.82928231731,0.4447843598351553
8,70.0,0.05,2,8,20483175.70663547,20565692.625499967,20422376.48594539,20832000.228153728,348824.5215182565,20504528.59933627,21352.89270079881,60799.22069008276,0.2968251679371525
9,70.0,0.05,2,8,22680868.565803323,20565692.625499967,22590001.489341237,23018840.801557902,337972.2357545793,22685618.351663943,4749.785860620439,90867.07646208629,0.40063314241452597
