run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,30.0,1.0,2,4,21780788.468215313,20390479.467201658,21775812.684962776,21786456.854562152,5668.386346839368,21786456.854562152,5668.386346839368,4975.7832525372505,0.022844826117284077
1,30.0,1.0,2,4,21095984.724628597,20390479.467201658,21020864.42491477,21119626.86782506,23642.143196463585,21119626.86782506,23642.143196463585,75120.29971382767,0.35608814044185455
2,30.0,1.0,2,4,20411008.741346836,20390479.467201658,20320178.920827128,20436420.178567834,25411.43722099811,20436420.178567834,25411.43722099811,90829.8205197081,0.4450040743734189
3,30.0,1.0,2,4,22134868.331081655,20390479.467201658,22089500.71248553,22138506.157346476,3637.826264820993,22138506.157346476,3637.826264820993,45367.618596125394,0.2049599659575135
4,30.0,1.0,2,4,21255600.972993318,20390479.467201658,21169052.258334566,21257164.742163036,1563.7691697180271,21257164.742163036,1563.7691697180271,86548.71465875208,0.40718074623586553
5,30.0,1.0,2,4,21118741.386679724,20390479.467201658,21001673.024587233,21131224.077328406,12482.690648682415,21131224.077328406,12482.690648682415,117068.36209249124,0.5543339915433126
6,30.0,1.0,2,4,21606492.04572996,20390479.467201658,21472499.38237203,21610418.613688808,3926.5679588466883,21610418.613688808,3926.5679588466883,133992.66335793212,0.6201500135900717
7,30.0,1.0,2,4,22007136.20412677,20390479.467201658,21944892.850100614,22050471.25499523,43335.050868459046,22050471.25499523,43335.050868459046,62243.35402615741,0.2828325932498457
8,30.0,1.0,2,4,20296905.603031762,20390479.467201658,20237576.254490823,20320523.600811493,23617.997779730707,20320523.600811493,23617.997779730707,59329.34854093939,0.2923073580835757
9,30.0,1.0,2,4,22470413.687531043,20390479.467201658,22387483.770129107,22484418.938897192,14005.251366149634,22484418.938897192,14005.251366149634,82929.9174019359,0.3690627086583376
