run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,45.0,0.0,4,4,21853403.16267947,20424633.937798895,21756225.49691454,21871401.30781097,17998.145131498575,21871401.307810966,17998.14513149485,97177.66576493159,0.444679783013789
1,45.0,0.0,4,4,21136693.402371846,20424633.937798895,21048477.369026706,21164719.835329775,28026.432957928628,21163742.822084766,27049.419712919742,88216.03334514052,0.41735966769164273
2,45.0,0.0,4,4,21233603.310479455,20424633.937798895,21153635.21179989,21266715.074026264,33111.763546809554,21265804.4520966,32201.14161714539,79968.0986795649,0.37661106082780643
3,45.0,0.0,4,4,20094982.071154613,20424633.937798895,20009530.72951799,20129643.6192298,34661.54807518795,20130532.11346131,35550.04230669513,85451.34163662419,0.4252372126237699
4,45.0,0.0,4,4,22068126.74724906,20424633.937798895,21970860.432671893,22097493.555329233,29366.80808017403,22096843.035284378,28716.288035318255,97266.31457716599,0.4407547395897157
5,45.0,0.0,4,4,21941154.348530382,20424633.937798895,21858590.03628792,21965782.27162515,24627.923094768077,21968503.87381612,27349.52528573945,82564.31224246323,0.37629885342834474
6,45.0,0.0,4,4,21286664.072872013,20424633.937798895,21196696.484017327,21308913.269199885,22249.196327872574,21309662.228839763,22998.155967749655,89967.58885468543,0.42264766591276853
7,45.0,0.0,4,4,21605779.87110031,20424633.937798895,21504215.347239725,21645540.60264828,39760.731547970325,21645540.602648005,39760.73154769465,101564.52386058494,0.47008034177204916
8,45.0,0.0,4,4,21327606.949217997,20424633.937798895,21299601.66244388,21355421.456730325,27814.507512327284,21356910.947664242,29303.998446244746,28005.2867741175,0.1313100285503168
9,45.0,0.0,4,4,21645404.840765852,20424633.937798895,21568053.26080216,21648731.102507137,3326.261741284281,21648536.7892972,3131.9485313482583,77351.57996369153,0.35735797289414295
