run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,70.0,0.05,2,2,21997093.807523496,20565692.625499967,21997295.81055969,22279003.54627199,281909.73874849454,22018133.971315246,21040.163791749626,-202.00303619354963,-0.0009183169284137894
1,70.0,0.05,2,2,21333630.856685303,20565692.625499967,21254943.205829542,21753171.81556835,419540.9588830471,21338363.309055213,4732.4523699097335,78687.65085576102,0.368843219348678
2,70.0,0.05,2,2,20658863.062847797,20565692.625499967,20564673.04621855,20935156.354405675,276293.29155787826,20666021.140434988,7158.0775871910155,94190.01662924513,0.4559303014047916
3,70.0,0.05,2,2,22259684.48881453,20565692.625499967,22214970.239056546,22470756.84370382,211072.35488929227,22263272.575243674,3588.086429145187,44714.24975798279,0.20087548761282603
4,70.0,0.05,2,2,21330284.820160493,20565692.625499967,21266261.947041616,21698727.101390585,368442.28123009205,21348454.09803771,18169.277877215296,64022.87311887741,0.30015010891165256
5,70.0,0.05,2,2,21327462.963872023,20565692.625499967,21216027.98498232,21519311.51101087,191848.5471388474,21331513.151859388,4050.1879873648286,111434.97888970375,0.5224952404253178
6,70.0,0.05,2,2,21716620.405070916,20565692.625499967,21606113.054190166,22187310.678607695,470690.273536779,21721495.10835971,4874.703288793564,110507.35088074952,0.5088607196677142
7,70.0,0.05,2,2,22150721.121590365,20565692.625499967,22064177.838145867,22311338.89367128,160617.7720809169,22162456.022837996,11734.901247631758,86543.28344449773,0.39070187814402024
8,70.0,0.05,2,2,20479636.874154855,20565692.625499967,20425745.353920333,20820449.16555979,340812.29140493646,20497008.820110686,17371.945955831558,53891.52023452148,0.26314685443730773
9,70.0,0.05,2,2,22733053.966239605,20565692.625499967,22619077.530716904,23060386.27312793,327332.3068883233,22727540.315033108,-5513.651206497103,113976.43552270159,0.501368780859649
