run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,70.0,0.0,4,8,21989487.066902634,20565692.625499967,21890594.967831682,22008674.348373543,19187.281470909715,22008569.721519917,19082.654617283493,98892.09907095134,0.4497244468234928
1,70.0,0.0,4,8,21345450.0982306,20565692.625499967,21251696.686239272,21363788.849395372,18338.751164771616,21364020.07820679,18569.97997618839,93753.411991328,0.43921965364927845
2,70.0,0.0,4,8,21420635.71647992,20565692.625499967,21316890.03291099,21452350.90741737,31715.190937448293,21451433.967975263,30798.2514953427,103745.68356892839,0.4843258852915923
3,70.0,0.0,4,8,20223090.009711344,20565692.625499967,20107733.33647062,20238432.622579925,15342.612868580967,20236860.34828809,13770.338576745242,115356.67324072495,0.5704206092408699
4,70.0,0.0,4,8,22267307.369407207,20565692.625499967,22160196.206273753,22281231.28320657,13923.91379936412,22283852.41754404,16545.048136834055,107111.16313345358,0.48102431675512036
5,70.0,0.0,4,8,22016474.06236757,20565692.625499967,21922041.013782967,22036569.27665858,20095.214291010052,22036569.27665855,20095.21429098025,94433.04858460277,0.4289199456602171
6,70.0,0.0,4,8,21495535.681670185,20565692.625499967,21398629.85833903,21512085.428735077,16549.747064892203,21511725.52859259,16189.846922405064,96905.82333115488,0.45081836882897064
7,70.0,0.0,4,8,21739804.840208903,20565692.625499967,21651156.311985385,21760540.659871235,20735.819662332535,21758776.237369414,18971.397160511464,88648.52822351828,0.4077705797043689
8,70.0,0.0,4,8,21440240.372582465,20565692.625499967,21404226.87250461,21466619.24557431,26378.87299184501,21464288.955302734,24048.582720268518,36013.50007785484,0.16797153134490272
9,70.0,0.0,4,8,21772269.551372547,20565692.625499967,21696768.036858216,21774478.852100737,2209.3007281906903,21775913.827275973,3644.2759034261107,75501.51451433077,0.3467783380881902
