run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,30.0,0.2,4,2,21767771.823914178,20390479.467201658,21695924.85180077,21785542.844108995,17771.020194817334,21780867.218824748,13095.394910570234,71846.97211340815,0.3300612147839437
1,30.0,0.2,4,2,21094968.19346115,20390479.467201658,20988682.9915047,21122135.180587042,27166.987125892192,21121933.038897276,26964.845436125994,106285.20195645094,0.5038414895045747
2,30.0,0.2,4,2,21208783.21124045,20390479.467201658,21117636.79914112,21241658.56985414,32875.3586136885,21242220.174489878,33436.963249426335,91146.41209933162,0.42975785641028613
3,30.0,0.2,4,2,20022288.14216619,20390479.467201658,19914567.579355713,20036564.034763478,14275.892597287893,20035781.6643972,13493.522231008857,107720.56281047687,0.5380032593958199
4,30.0,0.2,4,2,22000910.790684387,20390479.467201658,21893801.81873339,22013124.06004747,12213.269363082945,22012361.1942754,11450.403591014445,107108.97195099667,0.48683880849309513
5,30.0,0.2,4,2,21771890.354000125,20390479.467201658,21689098.029030208,21773977.488163874,2087.134163748473,21779029.145122647,7138.791122522205,82792.32496991754,0.38027164212089737
6,30.0,0.2,4,2,21336609.287801802,20390479.467201658,21228286.837363813,21344762.20500973,8152.917207926512,21345902.320715748,9293.032913945615,108322.45043798909,0.5076835263601014
7,30.0,0.2,4,2,21620715.368619505,20390479.467201658,21515103.776530705,21634640.66330938,13925.294689875096,21632683.27916161,11967.910542104393,105611.59208879992,0.48847408741195264
8,30.0,0.2,4,2,21273432.15502561,20390479.467201658,21227834.85569785,21278245.628110386,4813.473084777594,21276339.29707045,2907.142044842243,45597.29932775721,0.2143391766569522
9,30.0,0.2,4,2,21480812.07109448,20390479.467201658,21406990.787796706,21483325.281584095,2513.210489615798,21485639.457286485,4827.386192005128,73821.28329777345,0.3436615108099689
