run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,0.0,0.1,8,2,20894162.74181075,20390479.467201658,20787192.75743973,20905811.85319561,11649.111384861171,20903515.98235646,9353.240545708686,106969.98437102139,0.511961095033335
1,0.0,0.1,8,2,21346094.271448325,20390479.467201658,21264252.657193907,21359869.897698786,13775.626250460744,21356313.21906141,10218.947613082826,81841.61425441876,0.38340322690266954
2,0.0,0.1,8,2,20960091.137635507,20390479.467201658,20832278.615832582,20969722.440351684,9631.302716176957,20970091.039656505,9999.9020209983,127812.52180292457,0.6097899143836596
3,0.0,0.1,8,2,21406093.983529795,20390479.467201658,21304431.103923563,21419028.48047155,12934.496941756457,21418408.020180084,12314.03665028885,101662.87960623205,0.4749249427964446
4,0.0,0.1,8,2,21551874.77927629,20390479.467201658,21500762.703737956,21598301.98876108,46427.20948478952,21597147.926320937,45273.147044647485,51112.075538333505,0.23715837281813426
5,0.0,0.1,8,2,21756548.69503221,20390479.467201658,21679333.107128747,21772294.785013884,15746.089981675148,21770662.13275762,14113.437725409865,77215.58790346235,0.3549073384102204
6,0.0,0.1,8,2,21674051.4789201,20390479.467201658,21606374.432844214,21694309.67535354,20258.19643343985,21692726.684995778,18675.20607567951,67677.04607588425,0.3122491710500276
7,0.0,0.1,8,2,21362810.689760186,20390479.467201658,21270565.744726744,21373698.87546119,10888.18570100516,21372014.005689453,9203.315929267555,92244.94503344223,0.4318015376022496
8,0.0,0.1,8,2,21699607.78271314,20390479.467201658,21626159.060578354,21723407.857338697,23800.074625555426,21720814.087396972,21206.30468383059,73448.72213478759,0.3384794917505378
9,0.0,0.1,8,2,20993341.32236464,20390479.467201658,20917049.68708198,21002824.663976967,9483.341612327844,20997075.843993127,3734.521628487855,76291.63528265804,0.3634087309454784
