run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,30.0,0.2,2,4,21774473.224094257,20390479.467201658,21774116.873091955,21786456.854562152,11983.630467895418,21784204.31243699,9731.088342733681,356.3510023020208,0.0016365539530375653
1,30.0,0.2,2,4,21097565.133292336,20390479.467201658,21023699.482086908,21119626.86782506,22061.734532725066,21115514.004262432,17948.87097009644,73865.65120542794,0.3501145783352346
2,30.0,0.2,2,4,20401260.288846597,20390479.467201658,20328113.22023757,20436420.178567834,35159.88972123712,20437392.7853084,36132.49646180123,73147.06860902533,0.35854191149659
3,30.0,0.2,2,4,22132073.621693328,20390479.467201658,22084606.74438285,22138506.157346476,6432.5356531478465,22135721.510396194,3647.88870286569,47466.8773104772,0.21447098957754823
4,30.0,0.2,2,4,21248954.412436254,20390479.467201658,21144989.682350732,21257164.742163036,8210.329726781696,21263701.98339052,14747.570954266936,103964.73008552194,0.48926986273110495
5,30.0,0.2,2,4,21113758.630284447,20390479.467201658,21001769.2781611,21131224.077328406,17465.44704395905,21128360.26217651,14601.631892062724,111989.35212334618,0.5304093604760388
6,30.0,0.2,2,4,21582822.48703976,20390479.467201658,21470609.14088628,21610418.613688808,27596.12664904818,21610418.613688856,27596.126649096608,112213.34615347907,0.5199197010532887
7,30.0,0.2,2,4,22018452.98039583,20390479.467201658,21926968.615434483,22050471.25499523,32018.274599399418,22045932.844497655,27479.86410182342,91484.36496134847,0.41548952164260466
8,30.0,0.2,2,4,20284487.502772585,20390479.467201658,20253618.683660366,20320523.600811493,36036.098038908094,20313235.75273834,28748.24996575713,30868.819112218916,0.15217943814454082
9,30.0,0.2,2,4,22484898.878023114,20390479.467201658,22391458.8594767,22484418.938897192,-479.9391259215772,22484255.22163532,-643.6563877947628,93440.01854641363,0.41556788426450303
