run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,45.0,1.0,8,4,20965247.947996117,20424633.937798895,20867999.67118004,20988894.143253483,23646.195257365704,20988408.26960224,23160.321606121957,97248.27681607753,0.46385464678166444
1,45.0,1.0,8,4,21463408.875341836,20424633.937798895,21389114.628314704,21482733.957943425,19325.08260158822,21482733.957943425,19325.08260158822,74294.24702713266,0.346143743794982
2,45.0,1.0,8,4,21083029.739002667,20424633.937798895,20964487.86781963,21094316.27644253,11286.537439864129,21094316.27644253,11286.537439864129,118541.87118303776,0.5622620308870531
3,45.0,1.0,8,4,21604559.71831603,20424633.937798895,21505160.99080191,21621463.034260605,16903.315944574773,21621463.034260605,16903.315944574773,99398.72751411796,0.46008217158829284
4,45.0,1.0,8,4,21663196.286974203,20424633.937798895,21599205.090744577,21688115.954754125,24919.667779922485,21688115.954754125,24919.667779922485,63991.19622962549,0.2953912958269347
5,45.0,1.0,8,4,21841729.67124199,20424633.937798895,21755092.08695469,21853485.99294169,11756.321699697524,21853485.992941666,11756.321699675173,86637.5842873007,0.3966608212415176
6,45.0,1.0,8,4,21836806.438114088,20424633.937798895,21752935.625616036,21842374.309703834,5567.871589746326,21842374.309703834,5567.871589746326,83870.81249805167,0.38408002899024224
7,45.0,1.0,8,4,21441919.462807152,20424633.937798895,21332861.843315005,21449938.743868582,8019.28106142953,21449938.743868582,8019.28106142953,109057.61949214712,0.5086187348167076
8,45.0,1.0,8,4,21723140.424812716,20424633.937798895,21665039.273470215,21750784.950170677,27644.525357961655,21750327.514953308,27187.090140592307,58101.1513425,0.26746202531626323
9,45.0,1.0,8,4,21140005.213423338,20424633.937798895,21071621.1149348,21152249.845856562,12244.63243322447,21152249.845856562,12244.63243322447,68384.09848853946,0.3234819376729263
