run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,30.0,0.0,2,4,21775515.65452326,20390479.467201658,21773636.098009516,21783707.083357524,8191.428834263235,21783707.083357543,8191.428834281862,1879.5565137453377,0.00863151322597916
1,30.0,0.0,2,4,21100646.67572839,20390479.467201658,21028979.708114658,21115514.004262432,14867.3285340406,21115514.004262432,14867.3285340406,71666.9676137343,0.33964346550653934
2,30.0,0.0,2,4,20430080.548177175,20390479.467201658,20320233.661627077,20435985.515546493,5904.967369318008,20437392.785308905,7312.237131729722,109846.88655009866,0.5376723126032876
3,30.0,0.0,2,4,22131670.349585023,20390479.467201658,22086061.232475966,22135318.238287956,3647.888702932745,22135318.238287948,3647.8887029252946,45609.11710905656,0.2060807719825438
4,30.0,0.0,2,4,21248350.99149117,20390479.467201658,21169559.166362155,21255479.958520148,7128.967028979212,21259777.019140977,11426.027649808675,78791.82512901351,0.3708138347327067
5,30.0,0.0,2,4,21113703.6516786,20390479.467201658,21015897.332076415,21130285.64608969,16581.99441109225,21127610.551968236,13906.900289636105,97806.319602184,0.4632362053372295
6,30.0,0.0,2,4,21611263.705501005,20390479.467201658,21484484.704839285,21610418.613688804,-845.0918122008443,21610418.613688856,-845.0918121486902,126779.00066171959,0.5866339071576311
7,30.0,0.0,2,4,22029723.421558853,20390479.467201658,21953984.63014837,22045999.790919647,16276.369360793382,22045927.164110538,16203.74255168438,75738.79141048342,0.3438027339751506
8,30.0,0.0,2,4,20285518.543083876,20390479.467201658,20238707.757409427,20313184.345316034,27665.80223215744,20313355.31521279,27836.77212891355,46810.78567444906,0.23075962083507437
9,30.0,0.0,2,4,22480904.85511628,20390479.467201658,22388979.066422798,22484725.06121467,3820.2060983888805,22483516.47132191,2611.6162056289613,91925.78869348392,0.40890608846006093
