subsidy,density,h2_mean,h2_std,pressure_mean,pressure_std
0,1,0.0,0.0,231099.80779456938,12461.035948983144
0,5,0.0,0.0,232227.49161329895,12926.043828601334
0,10,0.0,0.0,231991.9398612345,12971.61632155619
35,1,0.9721429522684092,1.0953485915462713,229936.1403494398,12991.507746190122
35,5,1.3044862815803682,1.1010100166342431,230345.98630164796,13807.596509607432
35,10,1.3366345875805787,1.0514458331740124,230538.8776711266,14316.1598789846
40,1,1.331303965802134,0.8918667744353442,233798.0333815023,7675.0779287003725
40,5,1.889992585790294,0.4442271227937961,235050.82940374836,9748.357044427832
40,10,1.7647544145637304,0.6270036284762692,234799.95460302616,9906.586726501038
80,1,2.2730347745288704,0.144016376939466,236643.43548249957,11714.044919818036
80,5,2.223202846948954,0.2038347863260798,236160.68095378354,12879.631362836795
80,10,2.2452869775469333,0.1782227598320025,236123.1950374336,13031.688124038006
