m_2,m_3,mean,stderr
2.0,2.0,1.580697578191757,0.07151625085030612
2.0,4.0,6.367008745670319,1.7720001804173884
2.0,6.0,17.444415313005447,5.337278761819965
2.0,8.0,14.993575698137283,3.022380688582027
4.0,2.0,8.078278905153274,1.5715499010458636
4.0,4.0,28.639162296056746,7.610099413718866
4.0,6.0,83.74696968197823,27.156455052274094
4.0,8.0,94.77839953899384,38.53382062328866
6.0,2.0,13.302848070859909,2.3874599968617516
6.0,4.0,42.16193300485611,8.687394124784563
6.0,6.0,137.63221244215964,26.855056150955217
6.0,8.0,454.6611960887909,200.54651987070014
8.0,2.0,19.234366512298582,4.457907042437073
8.0,4.0,117.11213133335113,26.470046747963018
8.0,6.0,384.7277147769928,126.2175498024337
8.0,8.0,857.4459563612938,226.66637425431836
