subsidy,density,h2_mean,h2_std,pressure_mean,pressure_std
0,1,0.0,0.0,233269.39437214503,12077.132476884422
0,5,0.0,0.0,233948.49252587953,12573.323184925377
0,10,0.0,0.0,233659.60493206483,12630.26736850694
35,1,0.9312419557206418,1.113913149873077,229496.473376479,10742.152144206866
35,5,1.1744843431464855,1.1548662345076424,229873.95792838171,11548.075540504737
35,10,1.23561087156032,1.1011910039819173,229819.10265909074,11657.136675350419
40,1,0.9599517525666027,0.7381659001095554,235908.5229276348,7378.465895064924
40,5,1.7309801726227678,0.3189941019851191,237176.89521672385,9440.083194315732
40,10,1.4805038303078775,0.618321898361117,236943.32350308442,9509.492747023003
80,1,2.2558653776378264,0.1621698266713544,233211.65988666253,13006.282754357655
80,5,2.2264614379309586,0.15866124308870763,230902.29283881298,13867.231157473354
80,10,2.225729555148473,0.15929093664726085,230555.37817700152,13838.479092495158
