deviation,subsidy,mean,se
0.0,0.0,20776402.856303126,647292.0637806634
0.0,40.0,22276307.714440346,184808.6465740306
0.0,80.0,22786968.3570373,478469.8959421625
0.1,0.0,21294925.354926027,61175.14305473086
0.1,40.0,20578594.634344563,144321.4248346171
0.1,80.0,21542915.90396393,26260.520189281808
