Gurobi shell based on Python 3.13.1 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.13.1 with 'import gurobipy'
/var/spool/slurm/slurmd/job21007463/slurm_script: line 24: activate: No such file or directory
Cutting Planes In: 10, Cutting Planes Out: 0, Solve Time: 0.699418306350708 seconds
Cutting Planes In: 10, Cutting Planes Out: 2, Solve Time: 6.389380693435669 seconds
Cutting Planes In: 10, Cutting Planes Out: 4, Solve Time: 8.049611568450928 seconds
Cutting Planes In: 10, Cutting Planes Out: 6, Solve Time: 11.628464221954346 seconds
Cutting Planes In: 10, Cutting Planes Out: 8, Solve Time: 15.068779945373535 seconds
Cutting Planes In: 10, Cutting Planes Out: 10, Solve Time: 21.480829000473022 seconds
Cutting Planes In: 10, Cutting Planes Out: 12, Solve Time: 60.94222640991211 seconds
Cutting Planes In: 10, Cutting Planes Out: 14, Solve Time: 28.719374656677246 seconds
Cutting Planes In: 10, Cutting Planes Out: 16, Solve Time: 34.27684497833252 seconds
Cutting Planes In: 10, Cutting Planes Out: 18, Solve Time: 34.75812911987305 seconds
Cutting Planes In: 10, Cutting Planes Out: 20, Solve Time: 87.22637844085693 seconds
Cutting Planes In: 12, Cutting Planes Out: 0, Solve Time: 0.6834297180175781 seconds
Cutting Planes In: 12, Cutting Planes Out: 2, Solve Time: 8.174686431884766 seconds
Cutting Planes In: 12, Cutting Planes Out: 4, Solve Time: 9.691298723220825 seconds
Cutting Planes In: 12, Cutting Planes Out: 6, Solve Time: 14.811568021774292 seconds
Cutting Planes In: 12, Cutting Planes Out: 8, Solve Time: 17.979401111602783 seconds
Cutting Planes In: 12, Cutting Planes Out: 10, Solve Time: 75.29670476913452 seconds
Cutting Planes In: 12, Cutting Planes Out: 12, Solve Time: 30.04551911354065 seconds
Cutting Planes In: 12, Cutting Planes Out: 14, Solve Time: 31.35314178466797 seconds
Cutting Planes In: 12, Cutting Planes Out: 16, Solve Time: 94.47970795631409 seconds
Cutting Planes In: 12, Cutting Planes Out: 18, Solve Time: 122.3499448299408 seconds
Cutting Planes In: 12, Cutting Planes Out: 20, Solve Time: 107.37339353561401 seconds
Cutting Planes In: 14, Cutting Planes Out: 0, Solve Time: 0.6837537288665771 seconds
Cutting Planes In: 14, Cutting Planes Out: 2, Solve Time: 5.902618169784546 seconds
Cutting Planes In: 14, Cutting Planes Out: 4, Solve Time: 11.06644868850708 seconds
Cutting Planes In: 14, Cutting Planes Out: 6, Solve Time: 16.349112033843994 seconds
Cutting Planes In: 14, Cutting Planes Out: 8, Solve Time: 22.997300148010254 seconds
Cutting Planes In: 14, Cutting Planes Out: 10, Solve Time: 96.7503604888916 seconds
