network,stage2,stage3,run,seed,solve_time
smaller_network,4,4,0,42,607.6674828529358
smaller_network,4,4,1,43,155.610111951828
smaller_network,4,4,2,44,1812.9931573867798
smaller_network,4,4,3,45,408.2552332878113
