run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,30.0,0.2,2,8,21827485.410859697,20390479.467201658,21817003.171579942,21834126.568630412,6641.157770715654,10482.23927975446,0.04802311893672963,0.002735294154444187,21132654.599881135,74.73972602739725,0.0,21006803.39283964
1,30.0,0.2,2,8,21137392.46826758,20390479.467201658,21056253.895817418,21157567.123507723,20174.65524014458,81138.57245016098,0.38386273317283537,0.03268051887899631,20221339.37306916,74.4307248310433,0.12000000000000469,20161126.50546175
2,30.0,0.2,2,8,20393996.130847026,20390479.467201658,20316359.716993395,20432742.641434748,38746.51058772206,77636.41385363042,0.38068269384537706,0.0,19704329.498144012,73.73972602739725,0.0,19650124.060317393
3,30.0,0.2,2,8,22130117.694749318,20390479.467201658,22084508.577640314,22133765.583452187,3647.8887028694153,45609.11710900441,0.20609523066307872,0.0,21715287.292449143,73.73972602739725,0.0,21620420.255761053
4,30.0,0.2,2,8,21174635.372882184,20390479.467201658,21072822.882458173,21188405.121044114,13769.74816193059,101812.4904240109,0.48082287430743464,0.0,20849340.597480454,73.73972602739725,0.0,20856834.908900436
5,30.0,0.2,2,8,21095870.98947302,20390479.467201658,20979229.837635897,21099997.088345498,4126.098872479051,116641.1518371217,0.5529098651358193,0.01720116594325445,19218452.887054462,74.64793728531022,0.01720116594396165,19098393.315031786
6,30.0,0.2,2,8,21577816.822570484,20390479.467201658,21475193.19741722,21602651.237424146,24834.414853662252,102623.6251532659,0.4755978141677482,1.1986301369863255,20965349.330232657,76.73972602739725,1.0488013698630136,21001972.271476615
7,30.0,0.2,2,8,22053756.244135205,20390479.467201658,21973149.64992327,22087068.286968358,33312.04283315316,80606.594211936,0.36550052208621764,0.0,20803436.31574639,73.61922564681085,0.003546638345339825,20919701.91805214
8,30.0,0.2,2,8,20317076.853065144,20390479.467201658,20252118.839475475,20324525.013320517,7448.160255372524,64958.01358966902,0.31972125743998997,0.0,19642730.949525848,73.73972602739725,0.0010342930378994103,19597370.94897626
9,30.0,0.2,2,8,22486453.591611736,20390479.467201658,22403093.37746618,22487805.965003055,1352.3733913190663,83360.21414555609,0.37071303309763565,0.03175372788204281,21820131.10334947,74.73972602739768,0.16604988458851683,21723970.344959058
