run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,30.0,1.0,2,2,21844800.721505493,20390479.467201658,21841369.65370213,21849631.580322146,4830.85881665349,3431.067803364247,0.015706564903503438,0.0,20881727.92018604,73.73972602739725,0.0,20875668.80285328
1,30.0,1.0,2,2,21106761.291685823,20390479.467201658,21011030.967822574,21124621.381648086,17860.08996226266,95730.32386324927,0.4535528807110661,0.0,20229065.399518125,73.3739874890067,0.0,20135807.63639542
2,30.0,1.0,2,2,20443569.46019068,20390479.467201658,20355907.116377257,20473903.460888505,30334.000697825104,87662.34381342307,0.4288015553454403,0.0,19840950.39136697,73.73972602739725,0.0,19694860.91386857
3,30.0,1.0,2,2,22100565.67105014,20390479.467201658,22055198.05245406,22104203.49731502,3637.8262648805976,45367.618596076965,0.20527808777086953,0.07673495610963046,21778593.963140678,74.73972602739772,0.07673495610963046,21684230.048354503
4,30.0,1.0,2,2,21146694.40530514,20390479.467201658,21055742.635181632,21154968.71147777,8274.306172631681,90951.77012350783,0.4300992314935542,0.0,20829907.866154816,73.73972602739725,0.0,20839879.217378583
5,30.0,1.0,2,2,21160304.06877306,20390479.467201658,21036336.614292406,21181486.86286796,21182.794094897807,123967.45448065549,0.5858491167128276,0.04586977584867853,19517625.492732782,74.08662064509319,0.15030406880083907,19406627.64498487
6,30.0,1.0,2,2,21491012.500003874,20390479.467201658,21371909.747338038,21496017.554707527,5005.054703652859,119102.75266583636,0.5541979591041367,0.5993150684931509,21113411.746933695,76.66398644320537,0.5993150684931506,21001972.27147662
7,30.0,1.0,2,2,22062660.088293817,20390479.467201658,21942632.20154101,22072345.866531987,9685.778238169849,120027.8867528066,0.5440317997578722,0.0283731067627186,20926222.585794218,74.70949367537186,0.3233733251675174,20832093.384195235
8,30.0,1.0,2,2,20305076.169355705,20390479.467201658,20244657.861922283,20329280.12595787,24203.956602163613,60418.307433422655,0.2975527248925349,0.03453135007125729,19652426.46621502,74.34044747903592,0.0,19652493.48800511
9,30.0,1.0,2,2,22522137.15840362,20390479.467201658,22448151.545182448,22529306.848384455,7169.6899808347225,73985.61322117224,0.32850174342165483,0.1913730546183886,22155971.22375118,74.73972602739725,0.20263425109749056,22066649.02687322
