run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,70.0,1.0,8,8,21388727.742067177,20565692.625499967,21289440.292224918,21401428.882716697,12701.14064951986,99287.44984225929,0.4642045615783941,8.217596057822576,19866850.30402529,80.12210823681357,7.972332213417307,19820196.09736267
1,70.0,1.0,8,8,21968856.30760739,20565692.625499967,21881990.0797243,21990901.378810383,22045.071202993393,86866.22788308933,0.39540623629555643,8.328533912404897,20796374.759279747,83.5208837401157,7.970812740101794,20718734.400371693
2,70.0,1.0,8,8,21627137.040079348,20565692.625499967,21524502.196927343,21638295.60760059,11158.567521240562,102634.84315200523,0.4745650936682125,8.459569587127856,20095902.11750705,80.72321284823671,8.467594608425781,19964149.90921584
3,70.0,1.0,8,8,22022678.54702765,20565692.625499967,21921545.237251457,22044165.600930046,21487.05390239507,101133.3097761944,0.45922347529267327,7.804960255207169,20145483.445477832,79.99184133188405,7.788718671974831,20128463.967295025
4,70.0,1.0,8,8,22063009.10624288,20565692.625499967,21990403.755848035,22086864.880933013,23855.774690132588,72605.35039484501,0.3290818131163297,7.256272886885412,20190535.520263862,76.66351495449942,7.373074750698041,20115534.55051177
5,70.0,1.0,8,8,22288264.32147347,20565692.625499967,22203722.27266735,22306450.91414155,18186.59266807884,84542.04880612344,0.37931194455851813,7.5214529308951565,20993986.485116795,75.24061365681497,7.384007551270553,20871769.911116436
6,70.0,1.0,8,8,22238090.7976018,20565692.625499967,22159089.24464473,22243634.028868698,5543.231266897172,79001.55295706913,0.3552533069322157,7.75735587376851,21331868.647331625,77.70301550806663,7.59902172365265,21192192.29209913
7,70.0,1.0,8,8,21898524.39905737,20565692.625499967,21810316.14881864,21909725.08656655,11200.687509179115,88208.2502387315,0.40280453893289936,7.8115032740106525,20130113.862174314,80.16140845899096,7.661694964797901,20133514.99372535
8,70.0,1.0,8,8,22126522.56626737,20565692.625499967,22051902.00986907,22149462.692397192,22940.126129820943,74620.55639830232,0.3372448434896131,7.348454960388997,19909072.05142565,74.82581510086017,7.053599130293337,19804294.147356834
9,70.0,1.0,8,8,21566191.320656348,20565692.625499967,21501164.417622518,21581939.85471125,15748.53405490145,65026.903033830225,0.30152242492417614,7.392175641165599,19921157.57563826,75.28838517031792,7.490341600057482,19812966.432516303
