run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,0.0,0.0,4,8,21794957.972882964,20390479.467201658,21698967.9257284,21813592.017633796,18634.04475083202,95990.04715456441,0.440423180783345,0.0,19915349.538417704,74.33701475992869,0.0,19842496.15022866
1,0.0,0.0,4,8,21155886.643942572,20390479.467201658,21070923.526439887,21176271.82282221,20385.17887963727,84963.11750268564,0.40160508955559454,0.0,18755435.08983018,73.73972602739725,0.0,18769911.500178993
2,0.0,0.0,4,8,21229913.68028674,20390479.467201658,21118442.38957021,21248619.903491266,18706.22320452705,111471.29071652889,0.5250670935136055,0.0,18810807.612619963,73.7397260273973,0.0,18728436.667719115
3,0.0,0.0,4,8,20037353.67135359,20390479.467201658,19941465.636638522,20075004.093871843,37650.42251825333,95888.0347150676,0.47854640032707496,0.0,18802274.76516542,74.73972602739764,0.0,18764289.02433562
4,0.0,0.0,4,8,22038508.174565542,20390479.467201658,21933994.49752889,22061643.946159016,23135.77159347385,104513.6770366542,0.47423208598698413,0.005196461583805762,19993130.452421416,74.47834868912122,0.00259823079198513,19816350.86127111
5,0.0,0.0,4,8,21795013.980424497,20390479.467201658,21722398.445865814,21810149.69985427,15135.719429772347,72615.53455868363,0.33317498499383535,0.0,20752689.106864244,73.73972602739725,0.0,20759826.489389725
6,0.0,0.0,4,8,21291827.509559184,20390479.467201658,21200021.396288935,21298350.617364887,6523.107805702835,91806.11327024922,0.4311800536099211,0.0,20656895.298797265,73.40790031995105,0.0,20520454.387599636
7,0.0,0.0,4,8,21559616.18102716,20390479.467201658,21486705.169376355,21595799.462450773,36183.28142361343,72911.01165080443,0.33818325446334896,0.0,20122634.05374721,73.98172801795832,0.0,20084869.62470036
8,0.0,0.0,4,8,21231421.200760946,20390479.467201658,21213340.543759692,21265589.675334662,34168.47457371652,18080.657001253217,0.08515989970848112,0.0,19656301.8548653,79.73972602739725,0.0,19664162.16270635
9,0.0,0.0,4,8,21578003.604207046,20390479.467201658,21496612.571273383,21585501.793310653,7498.189103607088,81391.03293366358,0.37719445425338066,0.0,20017381.38387403,76.135315227023,0.0,19985698.6474826
