run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,45.0,0.1,8,4,20937919.760442417,20424633.937798895,20851727.1629882,20949449.482487414,11529.722044996917,86192.59745421633,0.41165788407049986,2.301244037280126,19513869.393283427,75.25569212916261,2.5378433968511662,19454848.257464588
1,45.0,0.1,8,4,21422116.670543745,20424633.937798895,21338509.881168447,21426766.336820755,4649.666277009994,83606.78937529773,0.39028257879978945,2.530027333596775,20294777.44297399,75.70590079686076,2.4756132428079938,20214017.553550664
2,45.0,0.1,8,4,21046360.30077026,20424633.937798895,20938001.013265558,21057539.019096177,11178.718325916678,108359.2875047028,0.5148599850813019,2.439529120469863,19498701.900114242,75.73972602739727,2.919208448076198,19366346.028484352
3,45.0,0.1,8,4,21581057.735892955,20424633.937798895,21482841.717264943,21583300.14895814,2242.4130651839077,98216.01862801239,0.45510289546495447,2.4462605521675456,19784584.123587836,77.72696352108625,2.471745730702997,19672207.638747673
4,45.0,0.1,8,4,21655358.808805928,20424633.937798895,21583491.199825108,21654562.843380224,-795.9654257036746,71867.60898081958,0.331869860090221,2.145446545887958,19933975.745203715,75.66709405041198,2.0008592685905264,19863312.6573173
5,45.0,0.1,8,4,21813443.63801204,20424633.937798895,21731968.427095152,21806226.991457034,-7216.646555006504,81475.21091688797,0.37350916374757775,2.2815304546663318,20465036.207685757,75.58378457203462,2.4518203456748244,20305950.529390976
6,45.0,0.1,8,4,21810009.373157468,20424633.937798895,21737318.907935698,21815419.292335168,5409.919177699834,72690.46522177011,0.3332894726365109,1.9382427670623368,20907296.75153808,75.51190774131942,1.9327042471973224,20774273.80350389
7,45.0,0.1,8,4,21414812.23330108,20424633.937798895,21318610.700725045,21411181.058157917,-3631.1751431636512,96201.53257603571,0.4492289333568735,2.531445840131118,19893681.427806504,75.73972602739725,2.5328389674829337,19894517.029338267
8,45.0,0.1,8,4,21705799.24570642,20424633.937798895,21626887.258502845,21713787.89810947,7988.652403049171,78911.98720357567,0.36355255252434476,1.8331520266196375,19872691.282455545,76.31189260457896,1.5728735878762323,19766912.714409262
9,45.0,0.1,8,4,21118671.620774455,20424633.937798895,21047864.60860264,21118834.95513866,163.33436420559883,70807.01217181608,0.3352815624168481,2.3616882418207514,19613579.42937556,75.73972602739725,2.369040340655196,19524943.401612893
