run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,0.0,0.1,8,4,20862782.774483863,20390479.467201658,20777483.560585875,20893975.226133537,31192.451649673283,85299.2138979882,0.40885827561945876,0.0,19233945.708730415,73.73972602739725,0.004939978353088051,19368216.67002759
1,0.0,0.1,8,4,21354878.777790725,20390479.467201658,21266200.22930879,21376971.80282734,22093.02503661439,88678.54848193377,0.4152613058808851,0.0,20239034.917162243,73.37398748900699,0.0,20162457.117668875
2,0.0,0.1,8,4,20966610.45064183,20390479.467201658,20841687.598819047,20983153.4973558,16543.0467139706,124922.85182278231,0.5958180608967157,0.0,19418723.653340086,74.73972602739691,0.0,19303998.962403122
3,0.0,0.1,8,4,21499933.219668236,20390479.467201658,21396804.15848429,21524170.39535683,24237.17568859458,103129.06118394434,0.47967154190786704,0.0,19716325.7238658,73.7000984728275,0.0,19603776.816213503
4,0.0,0.1,8,4,21587834.645483997,20390479.467201658,21523191.73041483,21610303.812441062,22469.166957065463,64642.91506916657,0.29944140359945437,0.0,19893674.592788164,73.68185422276636,0.0,19822207.92002103
5,0.0,0.1,8,4,21746943.3445857,20390479.467201658,21665041.304388523,21755427.71176651,8484.367180809379,81902.04019717872,0.3766140321396925,0.0,20401000.476842504,74.60820288193437,0.0,20234535.69489501
6,0.0,0.1,8,4,21750738.444505468,20390479.467201658,21666514.503904972,21760631.85345728,9893.408951811492,84223.94060049579,0.3872233617050914,0.004297266523449514,20820364.172136936,74.51190774131904,0.004297266523449514,20638375.18129189
7,0.0,0.1,8,4,21331934.27393891,20390479.467201658,21251369.149279412,21350556.95489826,18622.68095935136,80565.12465949729,0.3776737900318922,0.0,19897957.884565525,74.73972602739761,0.0,19889772.01112481
8,0.0,0.1,8,4,21660376.33299071,20390479.467201658,21589264.74144264,21679459.896455802,19083.56346509233,71111.59154807031,0.3283026594499235,0.0,19862444.13093661,74.13187379419796,0.0,19756269.774326276
9,0.0,0.1,8,4,21059697.85971574,20390479.467201658,20993163.48529161,21069138.29079538,9440.43107963726,66534.37442412972,0.31593223638502754,0.0,19606115.489251632,73.73972602739889,0.0,19516898.964664824
