run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,45.0,0.1,2,8,21849354.747345768,20424633.937798895,21854710.0025552,21866821.74874578,17467.001400012523,-5355.255209431052,-0.024509900962094096,1.7653991940971892,21159161.579121914,75.73972602739768,1.4787385829145037,21162642.08963664
1,45.0,0.1,2,8,21205848.63673361,20424633.937798895,21130313.754290532,21228387.505717553,22538.868983943015,75534.88244307786,0.3561983476211056,2.3872281490867553,20275986.696725264,75.3739874890071,2.4344897939140155,20208045.872171767
2,45.0,0.1,2,8,20450998.559102796,20424633.937798895,20350435.049209103,20480886.791778773,29888.23267597705,100563.50989369303,0.4917290938291711,1.8152721890984003,19797203.678960934,75.73972602739725,2.0272275998076736,19690046.440343536
3,45.0,0.1,2,8,22150529.28610153,20424633.937798895,22118403.539523438,22167174.83774046,16645.55163892731,32125.746578093618,0.1450337649414594,1.5162453560291496,21768574.174370423,75.73972602739775,1.5209044699627345,21675616.47693195
4,45.0,0.1,2,8,21207587.640351567,20424633.937798895,21143170.302003935,21230545.741901897,22958.101550329477,64417.33834763244,0.30374665633853565,2.0733101424560982,20878442.499043882,75.73972602739725,2.1235986661237565,20893077.306689963
5,45.0,0.1,2,8,21110073.849983077,20424633.937798895,20999622.519617252,21112348.437789056,2274.587805978954,110451.33036582544,0.5232162196624148,1.2033179554076365,19237834.034669094,75.63769735084013,1.0397966857020031,19135181.56997836
6,45.0,0.1,2,8,21670377.5227548,20424633.937798895,21557960.585514855,21672460.836200003,2083.3134452030063,112416.93723994493,0.518758554722466,2.523723836992393,21159612.969534844,75.66398644320569,2.549275767846426,21048862.241181687
7,45.0,0.1,2,8,22079438.12162795,20424633.937798895,21984865.3127098,22102328.39269074,22890.271062791348,94572.80891814828,0.4283297808448727,0.6888043836475735,20923066.4160153,73.96503047485282,1.0299406037133456,20883851.66145876
8,45.0,0.1,2,8,20342487.077850264,20424633.937798895,20291611.19186523,20364154.053453792,21666.97560352832,50875.885985031724,0.2500966857706769,1.4704976285380182,19562823.296264295,75.01769190322868,1.8226335716140931,19480522.620966442
9,45.0,0.1,2,8,22529208.31029643,20424633.937798895,22442791.94225042,22527146.52642037,-2061.7838760614395,86416.36804601178,0.3835748103341796,2.042719121093972,21874219.22641417,75.73972602739725,2.197349259147276,21783658.09157207
