run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,45.0,0.2,8,2,20957207.007210605,20424633.937798895,20874884.925012726,20959165.9573489,1958.950138296932,82322.08219787851,0.3928103690990622,3.0355142373992337,19434049.900206145,75.35443864291652,3.0287194163490394,19363899.01199656
1,45.0,0.2,8,2,21421002.19833448,20424633.937798895,21342876.024959546,21408672.992138006,-12329.206196475774,78126.17337493598,0.3647176385659977,3.099377498304599,20333735.345631633,75.73972602739725,3.112070177784518,20247368.383211937
2,45.0,0.2,8,2,21053679.2930699,20424633.937798895,20929605.605108157,21044469.37586913,-9209.91720077023,124073.68796174228,0.5893206894368472,3.378582169187429,19529105.594918028,74.80814761179656,3.500628292134842,19396128.789929133
3,45.0,0.2,8,2,21483746.01800531,20424633.937798895,21378841.77016937,21478322.01261861,-5424.005386702716,104904.24783594161,0.48829588540109536,3.0439970132742484,19744044.94824429,75.70009847283002,3.0306464152746364,19634161.41627864
4,45.0,0.2,8,2,21645707.261888918,20424633.937798895,21576457.393765353,21638400.02824197,-7307.2336469478905,69249.86812356487,0.31992425697030225,2.7411707058478267,19814343.073945902,75.7397260273977,2.3868526943082067,19728923.84237355
5,45.0,0.2,8,2,21836851.652914643,20424633.937798895,21751449.72899816,21821811.092670538,-15040.560244105756,85401.92391648144,0.3910908278990966,3.0595651864936215,20579488.01766076,75.5837845720344,2.9051148323340477,20459916.49532175
6,45.0,0.2,8,2,21744007.20690475,20424633.937798895,21670924.149439104,21743380.84773115,-626.3591735996306,73083.05746564642,0.33610666502372705,2.4933479987366485,20878071.72316745,75.51190774131904,2.358604157625935,20780876.91284026
7,45.0,0.2,8,2,21447417.918452695,20424633.937798895,21343816.78883099,21433569.779679783,-13848.138772912323,103601.12962170318,0.48304709693080566,3.023398751480352,19857615.305227403,76.73972602739725,2.7775559099155105,19861792.605379704
8,45.0,0.2,8,2,21751763.451241463,20424633.937798895,21682736.333052836,21750222.47848401,-1540.9727574549615,69027.11818862706,0.31734033124880917,2.155731743156933,19872655.52712551,75.08930774812772,2.2282249562548664,19766912.714409262
9,45.0,0.2,8,2,21053789.161462955,20424633.937798895,20979425.438790686,21042063.67115398,-11725.490308973938,74363.72267226875,0.35320826147715384,2.8043875366582176,19726089.09855077,75.73972602739767,2.937682804219801,19618110.290720012
