run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,70.0,0.2,2,2,21996478.195190962,20565692.625499967,21997295.81055969,22018133.971315246,21655.77612428367,-817.6153687275946,-0.0037170285237131634,2.121531122821275,21047883.85771959,75.73972602739725,2.121531122821275,21044560.86652171
1,70.0,0.2,2,2,21330009.114659324,20565692.625499967,21220720.659580305,21338363.309055213,8354.194395888597,109288.45507901907,0.5123694720032218,2.123385658398938,20405524.86683337,75.73972602739725,2.1233856466051377,20336586.888008527
2,70.0,0.2,2,2,20641220.37313094,20565692.625499967,20564673.046218567,20666021.140434936,24800.767303995788,76547.3269123733,0.3708469050212573,1.9424484763629248,20001157.052396778,75.73972602739725,2.0509302534325675,19982589.49572045
3,70.0,0.2,2,2,22259684.48881453,20565692.625499967,22214970.239056546,22263272.575243674,3588.086429145187,44714.24975798279,0.20087548761282603,2.127066952320902,21975010.8853781,75.73972602739725,2.1270669523209023,21882006.197746575
4,70.0,0.2,2,2,21334962.828105763,20565692.625499967,21255812.52860547,21345578.154283326,10615.326177563518,79150.29950029403,0.37098869183884786,2.2163176672804137,21008628.075808182,75.73972602739725,2.0522342062915717,20966131.10999991
5,70.0,0.2,2,2,21331042.923794392,20565692.625499967,21211135.37229185,21331513.151859324,470.2280649319291,119907.55150254071,0.562126999279468,2.2469901095922875,19699702.081414435,75.34714781775676,2.1447823861758404,19575185.31185324
6,70.0,0.2,2,2,21717504.196685396,20565692.625499967,21606113.05419023,21724809.805865966,7305.609180569649,111391.14249516651,0.5129095014157632,2.2950525505564183,21297814.056298163,75.73972602739725,2.295052550556418,21187058.083113093
7,70.0,0.2,2,2,22151234.29688016,20565692.625499967,22058315.12054379,22162456.022837996,11221.725957836956,92919.17633637041,0.4194762923412236,1.56594435814764,21024038.016500235,75.73972602739725,1.6121333728982872,21005837.686630737
8,70.0,0.2,2,2,20483431.338333953,20565692.625499967,20425745.35392035,20496221.979536388,12790.641202434897,57685.98441360146,0.2816226610706789,2.178881141344318,19869182.466946043,75.73972602739725,1.9961907572610398,19846562.932617143
9,70.0,0.2,2,2,22714635.01821843,20565692.625499967,22629479.177831743,22738049.502778724,23414.484560292214,85155.84038668871,0.37489416104810347,2.214165136693689,22381957.90261524,75.73972602739725,2.2865220454976827,22292562.18284211
