run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,0.0,0.0,2,2,21840914.352389973,20390479.467201658,21838486.221969206,21846633.85914971,5719.506759736687,2428.130420766771,0.011117347843548819,0.0,20877899.912468363,73.73972602739725,0.0,20875395.38690794
1,0.0,0.0,2,2,21103112.586855527,20390479.467201658,21004881.03171185,21120978.38839183,17865.801536303014,98231.5551436767,0.4654837277646999,0.0,20220957.06683602,73.37398748900675,0.0,20122050.797844786
2,0.0,0.0,2,2,20450893.86832928,20390479.467201658,20334464.267971154,20473579.22437817,22685.356048889458,116429.60035812482,0.5693130144224667,0.0,19835953.30609263,73.73972602739725,0.0,19761837.246163327
3,0.0,0.0,2,2,22097124.238506485,20390479.467201658,22051515.12139743,22100772.12720938,3647.8887028954923,45609.11710905656,0.20640295369104203,0.0,21775704.888168223,73.73972602739725,0.0,21680837.85148013
4,0.0,0.0,2,2,21129036.96964182,20390479.467201658,21055561.315680083,21150896.142029904,21859.172388084233,73475.65396173671,0.34774729235083673,0.0,20832100.584017728,73.73972602739725,0.0,20838944.701437593
5,0.0,0.0,2,2,21174202.003489874,20390479.467201658,21046486.105510246,21178577.91446317,4375.910973295569,127715.8979796283,0.6031674674614821,0.0,19518095.8270493,73.6479372853101,0.0,19406627.64498487
6,0.0,0.0,2,2,21478454.392643742,20390479.467201658,21371098.94267883,21494830.929130338,16376.536486595869,107355.44996491075,0.4998285630910175,0.0,21085956.12285923,73.66398644320789,0.0,21001972.271476615
7,0.0,0.0,2,2,22037141.782000564,20390479.467201658,21946051.03001096,22061414.894310355,24273.112309791148,91090.75198960304,0.4133510275094019,0.0,20819760.599264532,73.68946918588985,0.0,20796241.87127939
8,0.0,0.0,2,2,20294146.507083114,20390479.467201658,20238984.27148197,20320200.221360613,26053.714277498424,55162.235601145774,0.2718135280135724,0.0,19652059.47140651,73.73972602739725,0.0,19652493.48800511
9,0.0,0.0,2,2,22517319.467982985,20390479.467201658,22430955.799391367,22532581.58707754,15262.119094554335,86363.66859161854,0.3835432930390212,0.0,22146139.2536189,73.73972602739725,0.0,22066649.026873212
