run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,70.0,0.05,2,8,21987717.32365104,20565692.625499967,21971473.37567897,22003907.775780454,16190.452129412442,16243.947972070426,0.07387737313958306,2.152615013077278,21295378.995365843,75.73972602739764,1.8614219106978775,21257224.559720032
1,70.0,0.05,2,8,21362267.804557458,20565692.625499967,21269309.040883288,21375962.80815661,13695.003599151969,92958.76367416978,0.4351540038943703,2.1233856466051373,20405503.46482502,75.43072483104372,2.0941376139615926,20296090.688403018
2,70.0,0.05,2,8,20604671.04624998,20565692.625499967,20515049.24726797,20628623.50588063,23952.459630653262,89621.79898200929,0.4349586498170294,2.141612222548809,19802947.10117904,75.73972602739725,2.102175882754012,19843204.113753177
3,70.0,0.05,2,8,22295542.7239052,20565692.625499967,22250831.997364506,22299133.386265345,3590.6623601466417,44710.72654069215,0.20053661440030107,2.127066952320889,21923224.78323501,75.73972602739725,2.127356592446649,21830220.095603485
4,70.0,0.05,2,8,21372481.105901953,20565692.625499967,21298076.39328423,21385045.898136694,12564.792234741151,74404.71261772141,0.34813324783885174,2.115188184740716,21027364.936726335,75.73972602739725,2.2569424375337137,21039066.40993176
5,70.0,0.05,2,8,21253445.85200863,20565692.625499967,21145335.215875536,21261153.169836394,7707.3178277648985,108110.63613309339,0.5086734494062102,2.244268150066608,19414799.113556687,75.34714781775673,2.2736790647856124,19287508.67579617
6,70.0,0.05,2,8,21823699.15712544,20565692.625499967,21696250.413792823,21830152.30199504,6453.144869599491,127448.74333261698,0.5839923947586354,2.346156412264472,21281733.916044153,75.73972602739725,2.2950525505564183,21060881.850713953
7,70.0,0.05,2,8,22162012.0082678,20565692.625499967,22073104.815995794,22182385.550531466,20373.542263664305,88907.19227200747,0.4011693172932114,1.5481554684798766,21023122.581972457,74.59056275258958,1.6218370244901132,21038877.515785053
8,70.0,0.05,2,8,20485410.786229465,20565692.625499967,20414489.752587885,20504496.620007105,19085.833777640015,70921.03364158049,0.34620264334291234,2.006871921938263,19770763.55740966,75.73972602739725,2.0069159197780593,19671513.428696595
9,70.0,0.05,2,8,22682918.47092756,20565692.625499967,22584763.526124742,22692514.227902927,9595.756975367665,98154.94480281696,0.43272626019716576,2.3822477205846337,22039141.681486048,75.73972602739725,2.302419303456281,21869301.13947574
