run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,45.0,0.0,8,4,20921634.330911726,20424633.937798895,20823986.521108516,20949449.482487414,27815.151575688273,97647.8098032102,0.4667312708880276,1.9694267104865135,19447579.275513172,75.35443864292533,1.880667286624142,19496888.935042813
1,45.0,0.0,8,4,21404186.991724875,20424633.937798895,21322033.11815832,21426766.336820755,22579.34509588033,82153.873566553,0.3838215093071029,1.8896994553869422,20294708.00244438,75.37398748900705,1.8364498675125782,20214017.553550553
2,45.0,0.0,8,4,21042657.67914061,20424633.937798895,20905980.246015944,21057539.019096177,14881.339955568314,136677.43312466517,0.6495255267121142,2.256210607439421,19499352.467513792,75.73972602739725,2.2739261007632323,19365689.282690488
3,45.0,0.0,8,4,21566133.531488325,20424633.937798895,21462918.89620616,21583300.14895814,17166.617469813675,103214.6352821663,0.4785959204577142,1.8754585611893357,19782311.617140185,75.7269635210911,1.878949024022324,19672207.638747647
4,45.0,0.0,8,4,21637900.523327753,20424633.937798895,21552921.740738895,21654562.843380224,16662.320052471012,84978.78258885816,0.39273118247883054,1.5492520519314947,19932392.870841056,75.66709405041028,1.340750135570038,19864554.474569988
5,45.0,0.0,8,4,21796887.969930924,20424633.937798895,21707989.65237257,21806226.991457034,9339.021526109427,88898.31755835563,0.40784866941093584,1.7865954505033934,20464996.89870786,75.8640947102454,1.9280456938596398,20305950.529391155
6,45.0,0.0,8,4,21795070.507027764,20424633.937798895,21720292.361961365,21815419.292335168,20348.785307403654,74778.14506639913,0.3430965962798198,1.7343372383946987,20914264.112070587,76.51190774131904,1.607626277573698,20561501.52608821
7,45.0,0.0,8,4,21392891.405171804,20424633.937798895,21310862.24427402,21411181.058157917,18289.652986112982,82029.16089778394,0.38344120644651664,2.0298532022481233,19894021.776008878,77.73972602739725,2.0150740163318135,19897218.894857235
8,45.0,0.0,8,4,21687999.891467992,20424633.937798895,21608967.19331971,21713787.89810947,25788.006641477346,79032.69814828038,0.3644074997407744,1.34775054895522,19872667.838648483,75.26709603751927,1.0785207568036799,19766912.714409266
9,45.0,0.0,8,4,21106442.418268286,20424633.937798895,21039302.40690714,21118834.95513866,12392.536870375276,67140.01136114448,0.3181019805736314,1.7025184549364893,19582060.56680629,75.73972602740069,1.824146513308476,19524943.401613373
