subsidy,density,h2_mean,h2_std,pressure_mean,pressure_std
0,1,0.0,0.0,220849.93283169292,2.9103830456733704e-11
0,2,0.0,0.0,220849.9328318042,2.9103830456733704e-11
0,4,0.33317894608874743,5.551115123125783e-17,220312.6411695735,0.0
0,8,0.0,0.0,220168.8500408153,0.0
35,1,2.397260273972603,4.440892098500626e-16,221957.43603326016,2.9103830456733704e-11
35,2,2.3972602739726048,4.440892098500626e-16,221625.8146789794,2.9103830456733704e-11
35,4,2.7304392200613545,4.440892098500626e-16,220661.33802537076,0.0
35,8,2.7555826041206806,4.440892098500626e-16,220689.09207907825,0.0
40,1,2.397260273972603,4.440892098500626e-16,221957.43603326016,2.9103830456733704e-11
40,2,2.3972602739726003,4.440892098500626e-16,221625.81467909188,0.0
40,4,2.73043922006135,4.440892098500626e-16,220601.74304510612,2.9103830456733704e-11
40,8,2.7555826041206766,4.440892098500626e-16,220665.9336637492,2.9103830456733704e-11
80,1,8.506849315068497,3.552713678800501e-15,226402.40476236056,0.0
80,2,8.50684931506849,1.7763568394002505e-15,229323.15031475102,0.0
80,4,8.506849315068497,1.7763568394002505e-15,225659.85738359607,2.9103830456733704e-11
80,8,8.506849315068497,3.552713678800501e-15,223017.89443312693,2.9103830456733704e-11
