h2_forcing_percent,subsidy,deviation,run,termination_condition,feasible,objective,avg_h2_production,std_h2_production,avg_scenario_obj,std_scenario_obj,worst_scenario_obj,best_scenario_obj,cvar_5pct,avg_revenue,std_revenue,avg_demand_met,min_demand_met,objective_change,objective_pct_change,net_welfare_change,net_welfare_pct_change,total_h2_production,booking_cost
0.0,0,0.0,0,optimal,True,21858591.712849684,0.0,0.0,21858591.712849688,950129.0618311955,20726869.116072834,23721694.521274667,20726869.116072834,24338366.92829584,950169.8105100008,5.2619679235661945,3.5667149995860066,0.0,0.0,0.0,0.0,,
8.0,0,0.0,0,optimal,True,21584405.16702922,2.3152000000000004,1.2819751242557092e-16,21584405.16702922,915388.7940276145,20423830.641619164,23144005.24438237,20423830.641619164,24524551.251492172,920755.2863079268,5.316316658095688,3.603490134533217,-274186.54582046345,-1.2543651001051523,28737.057593593898,0.13146801939989883,,
8.25,0,0.0,0,optimal,True,21556138.345176887,2.3875500000000005,4.440892098500626e-16,21556138.345176887,896747.5315998932,20394641.58902082,23036185.48035475,20394641.58902082,24510060.251049872,901487.8795872758,5.318037964689315,3.604630445224985,-302453.3676727973,-1.3836818567547449,9936.598347949388,0.04545854773483924,,
8.3,0,0.0,0,infeasibleOrUnbounded,False,,,,,,,,,,,,,,,,,,
8.4,0,0.0,0,infeasibleOrUnbounded,False,,,,,,,,,,,,,,,,,,
8.5,0,0.0,0,infeasibleOrUnbounded,False,,,,,,,,,,,,,,,,,,
