subsidy,density,h2_mean,h2_std,pressure_mean,pressure_std
0.0,1.0,0.0,0.0,231823.00332042793,9107.527563239779
0.0,5.0,0.0,0.0,232801.15858415916,9452.792453812921
0.0,10.0,0.0,0.0,232547.82821817795,9487.774647427033
35.0,1.0,0.9585092867524867,0.807723508914648,229789.5846917862,9255.18541162067
35.0,5.0,1.2611523021024074,0.8170537717417584,230188.64351055922,9852.39360080268
35.0,10.0,1.302960015573826,0.7800004084129281,230298.95266711467,10177.46969836565
40.0,1.0,1.2075198947236236,0.6362799218559695,234501.52989687977,5603.164623886346
40.0,5.0,1.8369884480677854,0.3113099087408533,235759.51800807353,7124.675952431351
40.0,10.0,1.6700042198117795,0.4603077210494189,235514.41090304556,7228.832960314352
80.0,1.0,2.2673116422318556,0.10854498717866093,235499.51028388727,8804.80416637221
80.0,5.0,2.2242890439429552,0.14405519192550126,234407.88491546002,9620.83527875566
80.0,10.0,2.2387678367474466,0.12845790930595657,234267.25608395625,9706.938277251596
